date,symbolid,marketValue,vol,basicVol,fPrice,fPriceDev,open,max,min,close,pe,realBuyersCount,realSellersCount,legalBuyersCount,legalSellersCount,realBuyersVol,realSellersVol,legalBuyersVol,legalSellersVol
13990919,فاراك,4.19266E+11,52591320,6172840,7970,4,7650,8030,7650,8030,178,1685,2651,3,11,51821258,37556989,724959,14989228
13990923,فاراك,1.1484E+12,132352062,6273526,8680,9,8400,8820,8240,8820,193,3626,4241,4,18,126850932,106558740,5501130,25793322
13990924,فاراك,7.54041E+11,88927707,6273526,8480,-2,8930,8980,8250,8250,188,3536,3193,14,7,79422707,80042413,9505000,8885294
13990925,فاراك,40769470820,5058247,6273526,8140,-4,8060,8060,8060,8060,181,240,21,2,0,1508247,5058247,3550000,0
13990926,فاراك,5.32401E+11,68440314,6273526,7780,-4,7740,8040,7740,7870,173,2379,2125,13,5,49469630,58142809,18970684,10297505
13990929,فاراك,2.61488E+11,33074657,6426735,7910,2,7840,8100,7450,7930,176,1763,1747,8,5,28263837,31964494,4810820,1110163
13990930,فاراك,3.09735E+11,40446433,6426735,7660,-3,7820,8080,7520,7550,168,1787,1865,4,1,35722615,40440954,4723818,5479
13991001,فاراك,8.44394E+11,105405292,6426735,8010,5,7460,8040,7460,8040,178,2645,2726,4,10,104138244,83847292,1267048,21558000
13991002,فاراك,5.16999E+11,64845760,6426735,7970,-1,8040,8140,7770,8000,177,2990,2511,3,8,64643860,62537052,201900,2308708
13991006,فاراك,7.22901E+11,87728389,6218905,8100,1,8000,8440,7850,8240,180,3204,3774,6,14,84762514,74079759,2965875,13648630
13991007,فاراك,6.77552E+11,79104335,6218905,8570,4,8350,8650,8250,8650,190,3044,3431,3,7,78444335,74268426,660000,4835909
13991008,فاراك,6.04528E+11,72594869,6218905,8330,-3,8750,8760,8150,8150,185,3225,2789,3,2,70264798,70944969,2330071,1649900
13991009,فاراك,2.78812E+11,35124675,6218905,7940,-5,8000,8260,7920,7920,176,1502,1037,5,0,30898145,35124675,4226530,0
13991010,فاراك,3.2695E+11,42965712,6218905,7610,-4,7750,7940,7550,7550,169,2003,1770,6,1,38169529,42778583,4796183,187129
13991014,فاراك,1.84861E+11,25860681,6570302,7150,-2,7050,7470,6910,7100,159,1476,1853,2,1,24360681,25799432,1500000,61249
13991015,فاراك,1.67257E+11,22958781,6570302,7290,2,7110,7450,7100,7100,162,1632,1482,1,0,22864781,22958781,94000,0
13991016,فاراك,2.7318E+11,39072626,6570302,6990,-4,7110,7290,6930,6930,155,2121,1747,5,1,35615204,39055626,3457422,17000
13991020,فاراك,2.67873E+11,40228113,7153076,6660,-5,6660,6800,6650,6650,142,1228,1419,1,3,38228113,36934113,2000000,3294000
13991021,فاراك,2.8204E+11,41412022,7153076,6810,2,6660,6990,6500,6740,145,2083,1798,0,2,41412022,41354601,0,57421
13991022,فاراك,3.11628E+11,45522997,7153076,6850,1,6870,7090,6610,6700,146,1730,2053,5,3,39621518,45126205,5901479,396792
13991023,فاراك,2.36554E+11,36220390,7153076,6530,-5,6710,6850,6510,6510,139,1280,1215,6,0,26090390,36220390,10130000,0
13991027,فاراك,6521468760,1050156,7656968,6490,-1,6210,6210,6210,6210,138,123,5,0,0,1050156,1050156,0,0
13991029,فاراك,4176725970,676941,7656968,6460,0,6170,6170,6170,6170,137,129,4,0,0,676941,676941,0,0
13991030,فاراك,2.32257E+11,37617849,7656968,6170,-4,6140,6400,6140,6140,131,1673,1375,3,2,36577849,37517570,1040000,100279
13991101,فاراك,2.47869E+11,40005490,7656968,6200,0,6000,6350,6000,6210,79,1939,1823,1,4,39905490,38312390,100000,1693100
13991104,فاراك,2.24493E+11,34604510,8064516,6490,5,6260,6510,6250,6510,83,1298,1045,1,4,32604510,29440910,2000000,5163600
13991105,فاراك,3.55771E+11,56726999,8064516,6270,-3,6780,6790,6170,6170,80,1996,1495,5,2,42889952,56526999,13837047,200000
13991106,فاراك,2.40018E+11,39312861,8064516,6110,-3,5970,6290,5960,6060,78,1286,1507,2,1,33101670,31312861,6211191,8000000
13991107,فاراك,2.11906E+11,36141385,8064516,5860,-4,6010,6190,5810,5810,75,1480,1205,2,1,30822414,35941385,5318971,200000
13991113,فاراك,1.567E+11,28584522,6172840,5480,-6,5650,5680,5370,5400,,1229,850,2,0,28283522,28584522,301000,0
13991114,فاراك,3.39955E+11,64593445,8532423,5260,-4,5290,5480,5210,5310,67,1384,1369,5,3,39490545,39589425,25102900,25004020
13991115,فاراك,2.47748E+11,48987974,6172840,5060,-4,5300,5380,5000,5000,,1269,1197,3,2,48370724,46817974,617250,2170000
13991118,فاراك,36541019470,7536608,9881423,4900,-3,5000,5000,4810,4810,63,558,234,2,1,7386132,7422942,150476,113666
13991119,فاراك,1.24685E+11,24361108,9881423,5120,4,4810,5140,4810,5140,66,499,1091,0,2,24361108,17074774,0,7286334
13991120,فاراك,2/10061E+11,42018919,9881423,5000,-2,#N/A,#N/A,#N/A,#N/A,64,1450,1378,3,1,41748724,42017419,270195,1500
13991121,فاراك,2.04511E+11,39386315,9881423,5190,4,4990,5250,4850,5250,67,1062,1464,2,6,39374315,38564315,12000,822000
13991125,فاراك,28428994000,5168908,9633911,5360,3,5500,5500,5500,5500,69,111,492,0,1,5168908,5167215,0,1693
13991126,فاراك,3.19262E+11,57246011,9633911,5580,4,5680,5680,5420,5510,72,1803,1530,6,5,55616011,54037582,1630000,3208429
13991127,فاراك,1.13793E+11,20775930,9633911,5480,-2,5500,5640,5470,5470,70,827,504,6,2,18390930,20753000,2385000,22930
13991128,فاراك,9583216460,1781267,9633911,5460,0,5380,5380,5380,5380,70,240,34,1,0,1771267,1781267,10000,0
13991129,فاراك,32921987200,6141013,9633911,5400,-1,5360,5400,5360,5360,69,274,124,3,0,5841013,6141013,300000,0
