date,symbolid,marketValue,volume,basicVolume,fPrice,fPriceDev,open,max,min,close,pe,realBuyersCount,realSellersCount,legalBuyersCount,legalSellersCount,realBuyersVolume,realSellersVolume,legalBuyersVolume,legalSellersVolume
14000301,شتران,2.06E+11,28462899,15810277,7230,-4.74,7360,7480,7220,7220,6.89,1463,752,4,3,23082383,27212900,5380516,1249999
14000302,شتران,5.31E+11,77081218,15810277,6890,-4.7,6870,7060,6870,6870,6.57,2560,2352,4,9,54786632,75794088,22294586,1287130
14000303,شتران,1.16E+12,162034161,15810277,7140,,6740,7230,6650,7230,6.81,2573,5450,4,13,160594872,133131748,1439289,28902413
14000304,شتران,9.50E+11,128281427,15810277,7410,,7300,7490,7210,7390,7.06,3019,3892,8,10,123590110,124711633,4691317,3569794
14000305,شتران,4.16E+11,55962592,15810277,7420,,7310,7590,7270,7500,7.07,1966,4553,4,5,49836050,55649219,6126542,313373
14000308,شتران,2.81E+11,36255127,16172507,,,7560,7790,7560,7790,7.4,232,1546,0,6,36255127,20622575,0,15632552
14000309,شتران,1.21E+12,149565894,16172507,,,8140,8140,7910,8140,7.73,3043,4207,5,8,142865894,135015494,6700000,14550400
14000310,شتران,9.26E+11,114639771,16172507,,,8000,8480,7730,7850,7.7,3836,3592,9,9,100666076,111395251,13973695,3244520
14000311,شتران,5.15E+11,64758633,16172507,,,7820,8200,7680,7840,7.58,2891,2331,7,4,54830796,64166326,9927837,592307
14000312,شتران,9.42E+11,114478144,16172507,,3.52,7800,8340,7740,8340,7.85,2010,4349,5,14,108227777,97692566,6250367,16785578
14000317,شتران,8.14E+11,98546192,14580802,,0.36,8230,8500,8060,8300,7.87,3896,4404,8,7,94391798,94895738,4154394,3650454
14000318,شتران,5.09E+11,62210702,14580802,,-0.97,8280,8480,7940,8040,7.8,3321,2813,4,8,57783834,56462248,4426868,5748454
14000319,شتران,3.28E+11,40758385,14906832,,-1.59,7950,8200,7900,8150,7.67,1690,2224,3,5,34285828,39565587,6472557,1192798
14000322,شتران,4.53E+11,55674137,14906832,,1.12,8040,8280,8000,8080,7.76,2260,2438,4,9,47755294,42105436,7918843,13568701
14000323,شتران,5.71E+11,70851740,14906832,,-0.98,8010,8190,7950,8080,7.68,2408,1847,7,4,52770571,49988273,18081169,20863467
14000324,شتران,9.42E+11,113045145,14906832,8330,3.35,8050,8460,8040,8460,7.94,2624,4405,7,9,105094145,93417612,7951000,19627533
14000325,شتران,5.13E+11,61660301,14906832,8310,-0.24,8570,8570,8050,8050,7.92,3133,2747,4,4,61586055,60856301,74246,0
14000326,شتران,6.79E+11,81090228,14336918,8370,0.72,8100,8590,8030,8340,7.98,2699,3444,12,5,77743496,80138982,3346732,951246
14000329,شتران,8.80E+11,101432015,14336918,8680,3.7,8450,8780,8340,8780,8.27,2177,3399,7,12,98799271,85914472,2632744,15517543
14000330,شتران,7.93E+11,90327997,14336918,8780,1.15,9050,9060,8550,8600,8.37,3543,2943,4,6,90166275,88208837,161722,2119160
